"Name","Gender","Party","Roles","IsParlamentMember","IsOrdförande","IsGovernmentMember","ISViceOrförande"
"Malin Larsson","kvinna","S","Riksdagsledamot, Ledamot, Suppleant","False","False","True","False"
"Mikael Larsson","man","C","Riksdagsledamot, Ledamot, Suppleant, Suppleant, Ledamot","False","False","True","False"
"Stina Larsson","kvinna","C","Riksdagsledamot, Ledamot","False","False","True","False"
"Anna Lasses","kvinna","C","Riksdagsledamot, Suppleant, Suppleant, Ledamot","False","False","True","False"
"Rebecka Le Moine","kvinna","MP","Riksdagsledamot, Suppleant, Suppleant, Suppleant, Suppleant, Ledamot, Suppleant","False","False","True","False"
"Zara Leghissa","kvinna","S","Riksdagsledamot, Suppleant","False","False","True","False"
"Andreas Lennkvist Manriquez","man","V","Riksdagsledamot, Suppleant, Suppleant, Suppleant, Suppleant","False","False","True","False"
"Sanne Lennström","kvinna","S","Riksdagsledamot, Ledamot, Suppleant, Ledamot","False","False","True","False"
"Joanna Lewerentz","kvinna","M","Ersättare, Extra suppleant","False","False","False","False"
"Ann-Sofie Lifvenhage","kvinna","M","Riksdagsledamot, Ledamot, Suppleant, Suppleant","False","False","True","False"
"Ulrika Liljeberg","kvinna","C","Suppleant, Riksdagsledamot, Ledamot, Suppleant, Suppleant","False","False","True","False"
"Amanda Lind","kvinna","MP","Riksdagsledamot, Ordförande, Suppleant, Suppleant","False","True","True","False"
"Fredrik Lindahl","man","SD","Ledamot, Riksdagsledamot, Ledamot, Ledamot, Suppleant","False","False","True","False"
"Helena Lindahl","kvinna","C","Riksdagsledamot, Ledamot","False","False","True","False"
"Kristoffer Lindberg","man","S","Riksdagsledamot, Suppleant, Suppleant","False","False","True","False"
"Linda Lindberg","kvinna","SD","Gruppledare, Riksdagsledamot, Suppleant, Ledamot, Suppleant, Suppleant, Ledamot, Suppleant","False","False","True","False"
"Eva Lindh","kvinna","S","Riksdagsledamot, Suppleant, Suppleant, Ledamot","False","False","True","False"
"Ulf Lindholm","man","SD","Riksdagsledamot, Suppleant, Suppleant, Suppleant, Suppleant, Suppleant","False","False","True","False"
"Rasmus Ling","man","MP","Gruppledare, Riksdagsledamot, Ledamot, Suppleant, Suppleant, Suppleant, Suppleant, Ledamot, Ledamot","False","False","True","False"
"Katarina Luhr","kvinna","MP","Riksdagsledamot, Ledamot, Suppleant, Suppleant, Suppleant","False","False","True","False"
"Marléne Lund Kopparklint","kvinna","M","Riksdagsledamot, Ledamot, Suppleant","False","False","True","False"
"Angelica Lundberg","kvinna","SD","Riksdagsledamot, Suppleant, Suppleant","False","False","True","False"
"Kerstin Lundgren","kvinna","C","Riksdagsledamot, Tredje vice talman, Ledamot, Suppleant, Suppleant, Ordförande, Ledamot, Tredje vice ordförande","False","True","True","False"
"Fredrik Lundh Sammeli","man","S","Riksdagsledamot, Vice ordförande, Suppleant, Ledamot","False","False","True","True"
"Eleonore Lundkvist","kvinna","M","Ersättare, Extra suppleant, Extra suppleant","False","False","False","False"
"Patrik Lundqvist","man","S","Riksdagsledamot, Ledamot, Ledamot","False","False","True","False"
"David Lång","man","SD","Riksdagsledamot, Ledamot, Suppleant, Suppleant","False","False","True","False"
"Petter Löberg","man","S","Riksdagsledamot, Ledamot, Vice ordförande","False","False","True","True"
"Johan Löfstrand","man","S","Förste vice gruppledare, Riksdagsledamot, Suppleant, Suppleant, Ledamot, Ledamot","False","False","True","False"
